#This mapping was created following and expanding upon the SSSOM guidance: https://mapping-commons.github.io/sssom/spec/																							
#dcterms:license: CC-0																							
#version: 2.0																							
#creator_id:																							
orcid:0009-0004-7916-9833																							
orcid:0000-0002-7654-6902																							
#creator_name:																							
Camila Babo																							
Peter Wollard																							
#curie_map:																							
# - bcdm: https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv																							
#  - MIXS: https://genomicsstandardsconsortium.github.io/mixs/																							
# - MIXSversion: https://github.com/GenomicsStandardsConsortium/mixs/releases/tag/																							
# - orcid: https://orcid.org/																							
# - skos: http://www.w3.org/2004/02/skos/core																							
# - semapv: https://w3id.org/semapv/vocab/																							
subject_id	subject_label	ext_subject_definition	ext_subject_valueSyntax	ext_subject_valueFormat	ext_subject_group	subject_category	predicate_id	ext_syntax_predicate_id	object_id	object_label	ext_object_definition	ext_object_valueSyntax	ext_object_valueFormat	object_category	mapping_justification	creator_id	subject_source	subject_source_version	object_source	object_source_version	mapping_date	confidence	comment
bcdm:museumid	bcdm:museumid	Catalog number from a museum collection.	string	default	specimen	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	skos:relatedMatch	skos:relatedMatch	MIXS:0000026	MIXS:source_mat_id	A unique identifier assigned to a material sample (as defined by http://rs.tdwg.org/dwc/terms/materialSampleID, and as opposed to a particular digital record of a material sample) used for extracting nucleic acids, and subsequent sequencing. The identifier can refer either to the original material collected or to any derived sub-samples. The INSDC qualifiers /specimen_voucher, /bio_material, or /culture_collection may or may not share the same value as the source_mat_id field. For instance, the /specimen_voucher qualifier and source_mat_id may both contain 'UAM:Herps:14' , referring to both the specimen voucher and sampled tissue with the same identifier. However, the /culture_collection qualifier may refer to a value from an initial culture (e.g. ATCC:11775) while source_mat_id would refer to an identifier from some derived culture from which the nucleic acids were extracted (e.g. xatc123 or ark:/2154/R2)	string	default	MIxS Core	semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11	0.6	The subject can be related to source material identifiers as it can describe the original material collected that will derive sub-sample but it is less similar to the object than fieldid.
bcdm:record_id	bcdm:record_id	A BOLD generated identifier for the marker and specimen sequence combination.	string	default	specimen	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable	notApplicable							semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		
bcdm:specimenid	bcdm:specimenid	BOLD System generated numerical ID associated with the specimen record.	integer	default	specimen	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable	notApplicable							semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		
bcdm:specimenid	bcdm:specimenid	BOLD System generated numerical ID associated with the specimen record.	integer	default	specimen	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	skos:relatedMatch	skos:relatedMatch	MIXS:0001107	MIXS:samp_name	A unique identifier assigned to a material sample (as defined by http://rs.tdwg.org/dwc/terms/materialSampleID, and as opposed to a particular digital record of a material sample) used for extracting nucleic acids, and subsequent sequencing. The identifier can refer either to the original material collected or to any derived sub-samples. The INSDC qualifiers /specimen_voucher, /bio_material, or /culture_collection may or may not share the same value as the source_mat_id field. For instance, the /specimen_voucher qualifier and source_mat_id may both contain 'UAM:Herps:14' , referring to both the specimen voucher and sampled tissue with the same identifier. However, the /culture_collection qualifier may refer to a value from an initial culture (e.g. ATCC:11775) while source_mat_id would refer to an identifier from some derived culture from which the nucleic acids were extracted (e.g. xatc123 or ark:/2154/R2)	string	default	MIxS Core	semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11	0.7	Semantically, these terms may have a somewhat related meaning but the expected syntax may be different.
bcdm:processid_minted_date	bcdm:processid_minted_date	Date of record registration on BOLD.	string:date	%Y-%m-%d	specimen	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable	notApplicable							semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		NA
bcdm:bin_uri	bcdm:bin_uri	The Barcode Index Number (BIN) assigned to the COI sequence.	string	BOLD:%s	taxonomy	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable	notApplicable							semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		NA
bcdm:bin_created_date	bcdm:bin_created_date	Date of BIN creation in BOLD.	string:date	%Y-%m-%d	taxonomy	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable	notApplicable							semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		NA
bcdm:collection_code	bcdm:collection_code	Code associated with a given collection within an institution.	string	default	collection	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	skos:relatedMatch	skos:relatedMatch	MIXS:0000026	MIXS:source_mat_id	A unique identifier assigned to a material sample (as defined by http://rs.tdwg.org/dwc/terms/materialSampleID, and as opposed to a particular digital record of a material sample) used for extracting nucleic acids, and subsequent sequencing. The identifier can refer either to the original material collected or to any derived sub-samples. The INSDC qualifiers /specimen_voucher, /bio_material, or /culture_collection may or may not share the same value as the source_mat_id field. For instance, the /specimen_voucher qualifier and source_mat_id may both contain 'UAM:Herps:14' , referring to both the specimen voucher and sampled tissue with the same identifier. However, the /culture_collection qualifier may refer to a value from an initial culture (e.g. ATCC:11775) while source_mat_id would refer to an identifier from some derived culture from which the nucleic acids were extracted (e.g. xatc123 or ark:/2154/R2)	string	default	MIxS Core	semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11	0.6	Semantically, these terms may have a somewhat related meaning but the expected syntax may be different.
bcdm:inst	bcdm:inst	Institution storing the physical specimen.	string	default	specimen	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	skos:exactMatch	skos:closeMatch	MIXS:0001152	MIXS:repository_name	The name of the institution where the sample or DNA extract is held or "sample not available" if the sample was used in its entirety for analysis or otherwise not retained	string	default	MIxS Core	semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11	1	Both bubject and object expect the name of the institution storing the specimen, as such, semantically, both are exact matches. However, syntactically, if the sample is not available, the object expects string 'sample not available', wheras the subject details no requirement.
bcdm:taxid	bcdm:taxid	Identifier associated with the taxon assignment.	number	default	taxonomy	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	skos:relatedMatch	notApplicable	MIXS:0001320	MIXS:samp_taxon_id	NCBI taxon id of the sample. Maybe be a single taxon or mixed taxa sample. Use 'synthetic metagenome for mock community/positive controls, or 'blank sample' for negative controls	string	^{text} \[{NCBItaxon_id}\]$	MIxS Core	semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11	1	Both bubject and object expect the taxonomy identifier for the specimen. However, the object requires it to be detailed as a NCBI ID, whereas the subject expects the ID according to BOLD taxonomic backbone. However, syntactically, if the sample is not available, the object expects string 'sample not available', wheras the subject details no requirement. Syntactically, there is no association as the values will not be related as they belong to two different systems. Syntactic normalization could be possible with a mapping between differnet taxonomic systems, but, even then, the subject would still have a skos:narrowMatch with the object, as MIxS expects both the taxonomic ID and written nomenclature.
